,question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
11,rental of trailer parking,(UPL) How do I apply for trailer parking?,Top Match,(UPL) How do I apply for trailer parking?,Car Parks,Incorrect,12/30/2019 9:03,1/13/2020 12:53,14,Benjamin Chow,(SPT) What is the difference between reserved parking lots and Season Parking Tickets for heavy vehicles?
12,For Bugis Cube at Victoria Street do the shop owners need to apply for change of use from a shop to a KTV or PUB,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,10/2/2019 12:08,1/13/2020 12:25,103,Benjamin Chow,General info on change of use
13,The unit at Bugis Cube was for retail before Now the ownertenant want to use it for entertainment purpose as KTVPUB Is application for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,10/2/2019 12:10,1/13/2020 12:25,103,Benjamin Chow,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?
14,event application,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/3/2019 14:50,1/13/2020 12:15,102,Benjamin Chow,General information on land sales
15,how do i apply for bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,10/9/2019 16:33,1/13/2020 12:15,96,Benjamin Chow,Car Parks-Season Parking-Apply
16,bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/9/2019 16:33,1/13/2020 12:15,96,Benjamin Chow,General Information about URA
17,marina area,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/12/2019 22:29,1/13/2020 12:15,93,Benjamin Chow,General Info on URA SPACE map service
18,Is the lawn mbs available on 13 December 2019,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/14/2019 9:56,1/13/2020 12:15,91,Benjamin Chow,Catch all
19,Hi I just want to have an idea of how will it cost if I want to hold an event in Bayfront Event Space with an attendance of about 400 people,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,10/25/2019 22:54,1/13/2020 12:14,80,Benjamin Chow,General Information about URA
20,Hi I just want to have an idea of how will it cost if I want to hold an event in Bayfront Event Space with an attendance of about 400 people,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,10/25/2019 22:55,1/13/2020 12:14,80,Benjamin Chow,General Information about URA
21,hi food truck can only operates at waterfront promenade,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,10/28/2019 16:38,1/13/2020 12:14,77,Benjamin Chow,General Information about URA
22,what are the locations can i operate food truck,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,10/28/2019 16:41,1/13/2020 12:14,77,Benjamin Chow,General Info on Home Business
23,can i have the hotline for rental of Promontory Marina Bay,General Information about URA,Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/7/2019 10:07,1/13/2020 12:14,98,Benjamin Chow,Where can I get information on events held at Marina Bay?
24,Hi can the food truck be located at other locations instead of waterfron promenade,I am interested to operate a food truck at Marina Bay. What spaces are available?,,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,11/1/2019 11:44,1/13/2020 12:13,73,Benjamin Chow,General info on Development Control guidelines and handbooks
25,leasing event space venue enquiries,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/1/2019 15:04,1/13/2020 12:13,73,Benjamin Chow,Are URA's conference and training facilities available for public to rent?
26,Can i book the promontory for a private family function for an hour,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/4/2019 9:41,1/13/2020 12:13,70,Benjamin Chow,Where can I get information on events held at Marina Bay?
27,what is the carry capacity for the bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/4/2019 16:02,1/13/2020 12:13,70,Benjamin Chow,General information on building conservation
28,food kiosk,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,11/14/2019 14:47,1/13/2020 12:13,60,Benjamin Chow,General info on change of use
29,food kiosk meaning,I am interested to operate a food truck at Marina Bay. What spaces are available?,,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,11/14/2019 14:48,1/13/2020 12:13,60,Benjamin Chow,General info on change of use
30,Would a photoshoot of a few vehicles be allowed at bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/14/2019 14:55,1/13/2020 12:12,60,Benjamin Chow,General Information about URA
31,Hi Jamie can I have the phone number for film photos at marina bay sands area,General Information about URA,Top Match,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/18/2019 12:54,1/13/2020 12:12,56,Benjamin Chow,General Information about URA
32,how much the bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/19/2019 11:39,1/13/2020 12:12,55,Benjamin Chow,General Information about URA
33,rental of space,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/19/2019 15:48,1/13/2020 12:12,55,Benjamin Chow,General info on renting private residential property
34,which agency is in charge of the waters of marina bay please,Catch all,Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/22/2019 18:14,1/13/2020 12:09,52,Benjamin Chow,Where can I get information on events held at Marina Bay?
35,price to book the space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/25/2019 12:03,1/13/2020 12:08,49,Benjamin Chow,Car Parks-Season Parking-Apply
36,Can i book the promontory for a private family function for an hour,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/4/2019 9:41,1/13/2020 12:08,70,Benjamin Chow,Where can I get information on events held at Marina Bay?
37,I would like to book the event space the lawn for a 3 day outdoor event,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/4/2019 13:54,1/13/2020 12:08,70,Benjamin Chow,General Information about URA
38,Bayfront event space capacity,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/4/2019 16:09,1/13/2020 12:08,70,Benjamin Chow,General Information about URA
39,Bayfront Event Space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/4/2019 16:09,1/13/2020 12:08,70,Benjamin Chow,General Information about URA
40,The FloatMarina Bays SEAT PLAN,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/7/2019 14:09,1/13/2020 12:08,67,Benjamin Chow,Where can I get information on events held at Marina Bay?
41,filming request,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/14/2019 12:34,1/13/2020 12:08,60,Benjamin Chow,Car Parks-Parking Offences
42,filming request,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/14/2019 12:34,1/13/2020 12:08,60,Benjamin Chow,Car Parks-Parking Offences
43,Hi Jamie are you there,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,General Information about URA,,Incorrect,11/8/2019 13:30,1/13/2020 12:07,66,Benjamin Chow,General Information about URA
44,hosting event at the promenade,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/8/2019 16:19,1/13/2020 12:07,66,Benjamin Chow,Where can I get information on events held at Marina Bay?
45,list of event allowed at the bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/25/2019 11:46,1/13/2020 12:07,49,Benjamin Chow,Car Parks-Season Parking-Apply
46,Hi Can I apply for a company family carnival at the Promontory or the Lawn at Marina Bay,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/27/2019 16:07,1/13/2020 12:07,47,Benjamin Chow,Where can I get information on events held at Marina Bay?
47,photography permits,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/28/2019 14:11,1/13/2020 12:07,46,Benjamin Chow,General Information about URA
48,I lights participation,Where can I get information on events held at Marina Bay?,,Where can I get information on events held at Marina Bay?,Place Management,No Feedback,12/3/2019 15:43,1/13/2020 12:07,41,Benjamin Chow,Where can I get information on events held at Marina Bay?
49,i Light Singapore,Where can I get information on events held at Marina Bay?,Top Match,Where can I get information on events held at Marina Bay?,Place Management,No Feedback,12/3/2019 15:43,1/13/2020 12:07,41,Benjamin Chow,Where can I get information on events held at Marina Bay?
50,does casual filming need a permit,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Top Match,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,12/10/2019 14:45,1/13/2020 12:07,34,Benjamin Chow,Catch all
51,what does commercial filming denote,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,12/10/2019 14:46,1/13/2020 12:07,34,Benjamin Chow,General Info on Housing Developer
52,I am interested to operate a food truck at Marina Bay What spaces are available,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,12/12/2019 16:19,1/13/2020 12:07,32,Benjamin Chow,General info on change of use
53,what are food truck operating hours,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,12/19/2019 18:15,1/13/2020 12:07,25,Benjamin Chow,What are URA's operating hours?
54,Where is Event Square,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,12/19/2019 18:16,1/13/2020 12:07,25,Benjamin Chow,Catch all
55,we want to book The Lawn for an event,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,12/27/2019 10:47,1/13/2020 12:07,17,Benjamin Chow,Where can I get information on events held at Marina Bay?
56,for the Lawn,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,12/27/2019 10:51,1/13/2020 12:07,17,Benjamin Chow,
57,Visit URA,General information on Singapore City Gallery,,General information on Singapore City Gallery,,No Feedback,12/26/2019 10:19,1/9/2020 15:47,14,Benjamin Chow,General Information about URA
58,I want to go to the city gallery do you not have an address,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 6:50,1/9/2020 15:47,10,Benjamin Chow,General Information about URA
59,contact number for URA city gallery,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 16:51,1/9/2020 15:46,10,Benjamin Chow,General Information about URA
60,school visit,General information on Singapore City Gallery,,General information on Singapore City Gallery,,No Feedback,12/30/2019 16:53,1/9/2020 15:46,10,Benjamin Chow,Catch all
61,What are the Singapore City Gallerys opening hours,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 16:53,1/9/2020 15:46,10,Benjamin Chow,What are the Singapore City Gallery's opening hours?
62,What are the Singapore City Gallerys opening hours,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 17:02,1/9/2020 15:46,10,Benjamin Chow,What are the Singapore City Gallery's opening hours?
63,Hi Jamie does City Gallery open on Dec 31 2019,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 21:49,1/9/2020 15:46,10,Benjamin Chow,General Information about URA
64,Do you open on New Years Day,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 22:07,1/9/2020 15:46,10,Benjamin Chow,Catch all
65,what time is the ura consultation closed today,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/31/2019 12:18,1/9/2020 15:46,9,Benjamin Chow,General Information about URA
66,what is your opening time,General information on Singapore City Gallery,,General information on Singapore City Gallery,,No Feedback,12/31/2019 12:19,1/9/2020 15:46,9,Benjamin Chow,General information on planning process
67,I want to join ura,General information on Singapore City Gallery,Top Match,This is URA Careers. How can I help you?,Careers,No Feedback,12/30/2019 15:11,1/9/2020 15:46,10,Benjamin Chow,This is URA Careers. How can I help you?
68,i want to join ura,General information on Singapore City Gallery,Top Match,This is URA Careers. How can I help you?,Careers,No Feedback,12/30/2019 16:19,1/9/2020 15:46,10,Benjamin Chow,This is URA Careers. How can I help you?
69,How to apply for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How do I submit a change of use application?,Development Control > Change of Use,No Feedback,12/31/2019 2:09,1/3/2020 9:34,3,Oh Kie Hock,General info on change of use
70,When do I have to apply for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,12/31/2019 2:09,1/3/2020 9:34,3,Oh Kie Hock,When do I have to apply for change of use?
71,authorization letter for company vehicle,How do I apply for planning permission?,Top Match,Car Parks-Season Parking-Apply,,No Feedback,12/31/2019 9:37,1/3/2020 9:33,3,Oh Kie Hock,(CPD) What are the eligibility criteria to transfer a Season Parking Ticket (SPT) permanently to another v
72,RENTING,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/31/2019 12:21,1/3/2020 9:33,3,Oh Kie Hock,General info on renting private residential property
73,how can I log complaint against condos shoddy workmanship,General info on reporting infringements,,Catch all,,No Feedback,12/31/2019 11:08,1/3/2020 9:33,3,Oh Kie Hock,Catch all
74,i was charged for parking by my credit card on 2412 altought i was NOT in Singapore on that date are u ablt to help,Catch all,,Catch all,,No Feedback,12/31/2019 10:37,1/3/2020 9:33,3,Oh Kie Hock,Why am I receiving a SMS notification a few days after my parking sessions?
75,hi just informed that our office has remove new place at 2 Toh Guan Road East 0302B Singapore 608837 kindly inform your financeaccount accordingly Thanks,Catch all,,Catch all,,No Feedback,12/31/2019 13:06,1/3/2020 9:33,3,Oh Kie Hock,Catch all
76,Hi Jamie,General Information about URA,Top Match,Catch all,,No Feedback,12/31/2019 19:33,1/3/2020 9:33,3,Oh Kie Hock,General Information about URA
77,httpsepacgovsg is not working,General info for feedback on e-Service errors,,Catch all,,No Feedback,12/31/2019 11:38,1/3/2020 9:32,3,Oh Kie Hock,Where can I find information on Singapore Property market?
78,Whats next to Redhill MRT station empty land,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,12/31/2019 13:14,1/3/2020 9:32,3,Oh Kie Hock,General Info on URA SPACE map service
79,pvc,What are the processing fees for development applications?,,Car Parks Main,,No Feedback,12/31/2019 13:52,1/3/2020 9:32,3,Oh Kie Hock,
80,epac,Catch all,Top Match,Catch all,,No Feedback,12/31/2019 11:38,1/3/2020 9:31,3,Oh Kie Hock,Where can I find the latest URA circulars?
81,Why I cannot afford BTO ah,General info on renting private residential property,,Catch all,,No Feedback,12/31/2019 12:12,1/3/2020 9:31,3,Oh Kie Hock,General info for feedback on e-Service errors
82,No leh,Catch all,Top Match,Catch all,,No Feedback,12/31/2019 12:13,1/3/2020 9:31,3,Oh Kie Hock,Thank you
83,just joking,Can I transfer my Season Parking Ticket (SPT) to another vehicle permanently?,,Catch all,,No Feedback,12/31/2019 15:33,1/3/2020 9:30,3,Oh Kie Hock,
84,can i talk to someone urgently,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/31/2019 15:31,1/3/2020 9:30,3,Oh Kie Hock,General Information about URA
85,RENT OUT,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/31/2019 14:08,1/3/2020 9:30,3,Oh Kie Hock,General info on renting private residential property
86,how to add new tenant in the private property,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/31/2019 14:13,1/3/2020 9:30,3,Oh Kie Hock,General info on renting private residential property
87,Hello,General Information about URA,Top Match,Catch all,,No Feedback,12/31/2019 15:01,1/3/2020 9:30,3,Oh Kie Hock,General Information about URA
88,thanks,Thank you,Top Match,Catch all,,No Feedback,12/31/2019 15:02,1/3/2020 9:30,3,Oh Kie Hock,(PON) What should I do if I wish to return unused / wrongly torn coupons?
89,hillview,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,12/31/2019 15:07,1/3/2020 9:30,3,Oh Kie Hock,General Info on URA SPACE map service
90,i tried but could only book 2 lots subsequent attempts were not successful,General info for feedback on e-Service errors,Top Match,General info for feedback on e-Service errors,,No Feedback,12/31/2019 15:30,1/3/2020 9:29,3,Oh Kie Hock,General info for feedback on e-Service errors
91,MOP for private property,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/31/2019 17:20,1/3/2020 9:29,3,Oh Kie Hock,General info on renting private residential property
92,minimum occupation period,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/31/2019 17:19,1/3/2020 9:29,3,Oh Kie Hock,General information on building conservation
93,what do i need to do to build a mezzanine in in shophouse,"My unit has a high ceiling, can I build a loft?",Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/31/2019 21:47,1/3/2020 9:29,3,Oh Kie Hock,"My unit has a high ceiling, can I build a loft?"
94,what if the loft is more than 5m,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/31/2019 21:48,1/3/2020 9:27,3,Oh Kie Hock,"My unit has a high ceiling, can I build a loft?"
95,what if loft is more than 5sqm,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",Incorrect,12/31/2019 21:48,1/3/2020 9:27,3,Oh Kie Hock,"My unit has a high ceiling, can I build a loft?"
96,loft more than 5sqm,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/31/2019 21:49,1/3/2020 9:27,3,Oh Kie Hock,"My unit has a high ceiling, can I build a loft?"
97,road reserve line and boundary line are the same,Catch all,,Catch all,,No Feedback,12/31/2019 2:03,12/31/2019 11:13,<1,Oh Kie Hock,"(STPC) Although I am not parked in a proper parking lot, I think that I am not causing obstruction to the t"
98,Are there any forms to be filled by applicant for IGLS site,Catch all,Top Match,Catch all,,No Feedback,12/31/2019 9:44,12/31/2019 11:13,<1,Oh Kie Hock,Car Parks-Season Parking-Apply
99,Where do we find the Appendix H for IGLS development,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,12/31/2019 9:44,12/31/2019 11:12,<1,Oh Kie Hock,General Info on URA SPACE map service
100,reconstruction,Catch all,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/31/2019 10:24,12/31/2019 11:12,<1,Oh Kie Hock,General information on building conservation
101,reconstruction and addition and alteration works,General information on building conservation,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/31/2019 10:25,12/31/2019 11:12,<1,Oh Kie Hock,General information on building conservation
102,what is Form D,Catch all,Top Match,Catch all,,No Feedback,12/30/2019 11:28,12/31/2019 11:09,1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
103,we managed a serviced residences and would like to know if we can rent it out to people do confinement services,General info on renting private residential property,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/30/2019 10:50,12/31/2019 11:09,1,Oh Kie Hock,General info on renting private residential property
104,master plan site area,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,12/30/2019 8:53,12/31/2019 11:08,1,Oh Kie Hock,General Info on URA SPACE map service
105,is there any update for changi heights rear garden landed housing setbacks,General info on Development Control guidelines and handbooks,,General info on Development Control guidelines and handbooks,,No Feedback,12/30/2019 8:01,12/31/2019 11:08,1,Oh Kie Hock,General info on buying and renovating private residential properties
106,whats is the changi heights landed rear boundary,General info on change of use,Top Match,General info on change of use,,No Feedback,12/30/2019 8:02,12/31/2019 11:08,1,Oh Kie Hock,General info on buying and renovating private residential properties
107,what is the changi heights rear boundary,General info on change of use,Top Match,General info on change of use,,No Feedback,12/30/2019 8:07,12/31/2019 11:08,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
108,what is covered tarrace patio,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/30/2019 8:04,12/31/2019 11:08,1,Oh Kie Hock,Catch all
109,Ura phone,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 8:32,12/31/2019 11:07,1,Oh Kie Hock,General Information about URA
110,Ura contact,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 8:32,12/31/2019 11:07,1,Oh Kie Hock,General Information about URA
111,office contact no,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 8:42,12/31/2019 11:07,1,Oh Kie Hock,General Information about URA
112,Renounce form,"General info on Additions and Alterations, and DC Forms",,Catch all,,No Feedback,12/30/2019 9:09,12/31/2019 11:07,1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
113,Renounce property,General information on property market,,Catch all,,No Feedback,12/30/2019 9:09,12/31/2019 11:07,1,Oh Kie Hock,General info on renting private residential property
114,Hi can I partition my unit for additional room,General info on change of use,,Can I create internal partitions in a residential property?,Development Control > Subletting Private Residential Properties,No Feedback,12/30/2019 9:57,12/31/2019 11:07,1,Oh Kie Hock,Can I create internal partitions in a residential property?
115,Who to write to for illegal partition in condo,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,12/30/2019 9:45,12/31/2019 11:06,1,Oh Kie Hock,General info on reporting infringements
116,E forms,"General info on Additions and Alterations, and DC Forms",Top Match,Catch all,,No Feedback,12/30/2019 9:10,12/31/2019 11:06,1,Oh Kie Hock,Where are the Development Control (DC) forms?
117,Contact telephone number for reporting illegal rental,General Information about URA,Top Match,General info on reporting infringements,,No Feedback,12/30/2019 8:45,12/31/2019 11:06,1,Oh Kie Hock,General Information about URA
118,WP EXTENSION,How do I apply for planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/30/2019 10:08,12/31/2019 11:06,1,Oh Kie Hock,What is a Temporary Written Permission?
119,eda form gave an error 53,General info for feedback on e-Service errors,Top Match,General info for feedback on e-Service errors,,No Feedback,12/30/2019 10:14,12/31/2019 11:05,1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
120,feedback,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 11:11,12/31/2019 11:05,1,Oh Kie Hock,General Information about URA
121,hi,General Information about URA,Top Match,Catch all,,No Feedback,12/30/2019 10:56,12/31/2019 11:04,1,Oh Kie Hock,General Information about URA
122,Download MasterPlan app,General information on planning process,Top Match,Catch all,,No Feedback,12/30/2019 10:58,12/31/2019 11:04,1,Oh Kie Hock,General information on planning process
123,registered office,General Info on Home Business,Top Match,Catch all,,No Feedback,12/30/2019 11:04,12/31/2019 11:04,1,Oh Kie Hock,General Info on Home Business
124,non profit,Can I install screening at my balcony?,,Catch all,,No Feedback,12/30/2019 11:04,12/31/2019 11:04,1,Oh Kie Hock,General Info on Home Business
125,registered,General Info on Home Business,,Catch all,,No Feedback,12/30/2019 11:05,12/31/2019 11:04,1,Oh Kie Hock,General info on renting private residential property
126,mailing,General Information about URA,,Catch all,,No Feedback,12/30/2019 11:05,12/31/2019 11:04,1,Oh Kie Hock,General Information about URA
127,complain,Catch all,Top Match,Catch all,,No Feedback,12/30/2019 11:10,12/31/2019 11:04,1,Oh Kie Hock,General info on reporting infringements
128,lodge a complain against ura staff,General info on reporting infringements,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 15:11,12/31/2019 11:03,1,Oh Kie Hock,General info on reporting infringements
