question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
how do i apply for bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,10/9/2019 16:33,1/13/2020 12:15,96,Benjamin Chow,Car Parks-Season Parking-Apply
bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/9/2019 16:33,1/13/2020 12:15,96,Benjamin Chow,General Information about URA
marina area,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/12/2019 22:29,1/13/2020 12:15,93,Benjamin Chow,General Info on URA SPACE map service
Is the lawn mbs available on 13 December 2019,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/14/2019 9:56,1/13/2020 12:15,91,Benjamin Chow,(STPC) Where can I find information on URA car park locations and parking charges?
Hi I just want to have an idea of how will it cost if I want to hold an event in Bayfront Event Space with an attendance of about 400 people,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,10/25/2019 22:54,1/13/2020 12:14,80,Benjamin Chow,General Information about URA
Hi I just want to have an idea of how will it cost if I want to hold an event in Bayfront Event Space with an attendance of about 400 people,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,10/25/2019 22:55,1/13/2020 12:14,80,Benjamin Chow,General Information about URA
hi food truck can only operates at waterfront promenade,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,10/28/2019 16:38,1/13/2020 12:14,77,Benjamin Chow,General info on change of use
what are the locations can i operate food truck,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,10/28/2019 16:41,1/13/2020 12:14,77,Benjamin Chow,General Info on Home Business
can i have the hotline for rental of Promontory Marina Bay,General Information about URA,Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/7/2019 10:07,1/13/2020 12:14,98,Benjamin Chow,Where can I get information on events held at Marina Bay?
Hi can the food truck be located at other locations instead of waterfron promenade,I am interested to operate a food truck at Marina Bay. What spaces are available?,,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,11/1/2019 11:44,1/13/2020 12:13,73,Benjamin Chow,General info on Development Control guidelines and handbooks
leasing event space venue enquiries,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/1/2019 15:04,1/13/2020 12:13,73,Benjamin Chow,Are URA's conference and training facilities available for public to rent?
Can i book the promontory for a private family function for an hour,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/4/2019 9:41,1/13/2020 12:13,70,Benjamin Chow,Where can I get information on events held at Marina Bay?
what is the carry capacity for the bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/4/2019 16:02,1/13/2020 12:13,70,Benjamin Chow,General information on building conservation
food kiosk,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,11/14/2019 14:47,1/13/2020 12:13,60,Benjamin Chow,Catch all
food kiosk meaning,I am interested to operate a food truck at Marina Bay. What spaces are available?,,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,11/14/2019 14:48,1/13/2020 12:13,60,Benjamin Chow,Catch all
Would a photoshoot of a few vehicles be allowed at bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/14/2019 14:55,1/13/2020 12:12,60,Benjamin Chow,General Information about URA
Hi Jamie can I have the phone number for film photos at marina bay sands area,General Information about URA,Top Match,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/18/2019 12:54,1/13/2020 12:12,56,Benjamin Chow,General Information about URA
how much the bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/19/2019 11:39,1/13/2020 12:12,55,Benjamin Chow,General Information about URA
rental of space,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/19/2019 15:48,1/13/2020 12:12,55,Benjamin Chow,General info on renting private residential property
which agency is in charge of the waters of marina bay please,Catch all,Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/22/2019 18:14,1/13/2020 12:09,52,Benjamin Chow,Where can I get information on events held at Marina Bay?
price to book the space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/25/2019 12:03,1/13/2020 12:08,49,Benjamin Chow,Car Parks-Season Parking-Apply
Can i book the promontory for a private family function for an hour,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/4/2019 9:41,1/13/2020 12:08,70,Benjamin Chow,Where can I get information on events held at Marina Bay?
I would like to book the event space the lawn for a 3 day outdoor event,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/4/2019 13:54,1/13/2020 12:08,70,Benjamin Chow,Catch all
Bayfront event space capacity,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/4/2019 16:09,1/13/2020 12:08,70,Benjamin Chow,General Information about URA
Bayfront Event Space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/4/2019 16:09,1/13/2020 12:08,70,Benjamin Chow,General Information about URA
The FloatMarina Bays SEAT PLAN,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/7/2019 14:09,1/13/2020 12:08,67,Benjamin Chow,Where can I get information on events held at Marina Bay?
filming request,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/14/2019 12:34,1/13/2020 12:08,60,Benjamin Chow,General Information about URA
filming request,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/14/2019 12:34,1/13/2020 12:08,60,Benjamin Chow,General Information about URA
Hi Jamie are you there,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,General Information about URA,,Incorrect,11/8/2019 13:30,1/13/2020 12:07,66,Benjamin Chow,General Information about URA
hosting event at the promenade,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/8/2019 16:19,1/13/2020 12:07,66,Benjamin Chow,Where can I get information on events held at Marina Bay?
list of event allowed at the bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,Incorrect,11/25/2019 11:46,1/13/2020 12:07,49,Benjamin Chow,Car Parks-Season Parking-Apply
Hi Can I apply for a company family carnival at the Promontory or the Lawn at Marina Bay,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,11/27/2019 16:07,1/13/2020 12:07,47,Benjamin Chow,Where can I get information on events held at Marina Bay?
photography permits,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,11/28/2019 14:11,1/13/2020 12:07,46,Benjamin Chow,General Information about URA
I lights participation,Where can I get information on events held at Marina Bay?,,Where can I get information on events held at Marina Bay?,Place Management,No Feedback,12/3/2019 15:43,1/13/2020 12:07,41,Benjamin Chow,Where can I get information on events held at Marina Bay?
i Light Singapore,Where can I get information on events held at Marina Bay?,Top Match,Where can I get information on events held at Marina Bay?,Place Management,No Feedback,12/3/2019 15:43,1/13/2020 12:07,41,Benjamin Chow,Where can I get information on events held at Marina Bay?
does casual filming need a permit,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Top Match,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,12/10/2019 14:45,1/13/2020 12:07,34,Benjamin Chow,General Information about URA
what does commercial filming denote,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",,"I want to do filming or photography at Marina Bay, do I need to apply for a permit?",Place Management,No Feedback,12/10/2019 14:46,1/13/2020 12:07,34,Benjamin Chow,General Info on Housing Developer
I am interested to operate a food truck at Marina Bay What spaces are available,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,12/12/2019 16:19,1/13/2020 12:07,32,Benjamin Chow,General info on change of use
what are food truck operating hours,I am interested to operate a food truck at Marina Bay. What spaces are available?,Top Match,I am interested to operate a food truck at Marina Bay. What spaces are available?,Place Management,No Feedback,12/19/2019 18:15,1/13/2020 12:07,25,Benjamin Chow,What are URA's operating hours?
Where is Event Square,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,12/19/2019 18:16,1/13/2020 12:07,25,Benjamin Chow,Catch all
we want to book The Lawn for an event,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,12/27/2019 10:47,1/13/2020 12:07,17,Benjamin Chow,Catch all
for the Lawn,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,12/27/2019 10:51,1/13/2020 12:07,17,Benjamin Chow,
Visit URA,General information on Singapore City Gallery,,General information on Singapore City Gallery,,No Feedback,12/26/2019 10:19,1/9/2020 15:47,14,Benjamin Chow,General Information about URA
I want to go to the city gallery do you not have an address,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 6:50,1/9/2020 15:47,10,Benjamin Chow,General Information about URA
contact number for URA city gallery,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 16:51,1/9/2020 15:46,10,Benjamin Chow,General Information about URA
school visit,General information on Singapore City Gallery,,General information on Singapore City Gallery,,No Feedback,12/30/2019 16:53,1/9/2020 15:46,10,Benjamin Chow,Catch all
What are the Singapore City Gallerys opening hours,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 16:53,1/9/2020 15:46,10,Benjamin Chow,What are the Singapore City Gallery's opening hours?
What are the Singapore City Gallerys opening hours,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 17:02,1/9/2020 15:46,10,Benjamin Chow,What are the Singapore City Gallery's opening hours?
Hi Jamie does City Gallery open on Dec 31 2019,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 21:49,1/9/2020 15:46,10,Benjamin Chow,General Information about URA
Do you open on New Years Day,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/30/2019 22:07,1/9/2020 15:46,10,Benjamin Chow,Catch all
what time is the ura consultation closed today,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,12/31/2019 12:18,1/9/2020 15:46,9,Benjamin Chow,General Information about URA
what is your opening time,General information on Singapore City Gallery,,General information on Singapore City Gallery,,No Feedback,12/31/2019 12:19,1/9/2020 15:46,9,Benjamin Chow,
I want to join ura,General information on Singapore City Gallery,Top Match,This is URA Careers. How can I help you?,Careers,No Feedback,12/30/2019 15:11,1/9/2020 15:46,10,Benjamin Chow,This is URA Careers. How can I help you?
i want to join ura,General information on Singapore City Gallery,Top Match,This is URA Careers. How can I help you?,Careers,No Feedback,12/30/2019 16:19,1/9/2020 15:46,10,Benjamin Chow,This is URA Careers. How can I help you?
How to apply for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How do I submit a change of use application?,Development Control > Change of Use,No Feedback,12/31/2019 2:09,1/3/2020 9:34,3,Oh Kie Hock,General info on change of use
When do I have to apply for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,12/31/2019 2:09,1/3/2020 9:34,3,Oh Kie Hock,When do I have to apply for change of use?
authorization letter for company vehicle,How do I apply for planning permission?,Top Match,Car Parks-Season Parking-Apply,,No Feedback,12/31/2019 9:37,1/3/2020 9:33,3,Oh Kie Hock,Car Parks-Season Parking-Apply
RENTING,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/31/2019 12:21,1/3/2020 9:33,3,Oh Kie Hock,General info on renting private residential property
how can I log complaint against condos shoddy workmanship,General info on reporting infringements,,Catch all,,No Feedback,12/31/2019 11:08,1/3/2020 9:33,3,Oh Kie Hock,General info on reporting infringements
i was charged for parking by my credit card on 2412 altought i was NOT in Singapore on that date are u ablt to help,Catch all,,Catch all,,No Feedback,12/31/2019 10:37,1/3/2020 9:33,3,Oh Kie Hock,Catch all
hi just informed that our office has remove new place at 2 Toh Guan Road East 0302B Singapore 608837 kindly inform your financeaccount accordingly Thanks,Catch all,,Catch all,,No Feedback,12/31/2019 13:06,1/3/2020 9:33,3,Oh Kie Hock,General Information about URA
Hi Jamie,General Information about URA,Top Match,Catch all,,No Feedback,12/31/2019 19:33,1/3/2020 9:33,3,Oh Kie Hock,General Information about URA
httpsepacgovsg is not working,General info for feedback on e-Service errors,,Catch all,,No Feedback,12/31/2019 11:38,1/3/2020 9:32,3,Oh Kie Hock,Where can I find information on Singapore Property market?
Whats next to Redhill MRT station empty land,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,12/31/2019 13:14,1/3/2020 9:32,3,Oh Kie Hock,General Info on URA SPACE map service
pvc,What are the processing fees for development applications?,,Car Parks Main,,No Feedback,12/31/2019 13:52,1/3/2020 9:32,3,Oh Kie Hock,Car Parks-VPC-Renew
epac,Catch all,Top Match,Catch all,,No Feedback,12/31/2019 11:38,1/3/2020 9:31,3,Oh Kie Hock,Catch all
Why I cannot afford BTO ah,General info on renting private residential property,,Catch all,,No Feedback,12/31/2019 12:12,1/3/2020 9:31,3,Oh Kie Hock,General info for feedback on e-Service errors
No leh,Catch all,Top Match,Catch all,,No Feedback,12/31/2019 12:13,1/3/2020 9:31,3,Oh Kie Hock,Thank you
just joking,Can I transfer my Season Parking Ticket (SPT) to another vehicle permanently?,,Catch all,,No Feedback,12/31/2019 15:33,1/3/2020 9:30,3,Oh Kie Hock,
can i talk to someone urgently,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/31/2019 15:31,1/3/2020 9:30,3,Oh Kie Hock,Who can I speak to at URA?
RENT OUT,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/31/2019 14:08,1/3/2020 9:30,3,Oh Kie Hock,General info on renting private residential property
how to add new tenant in the private property,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/31/2019 14:13,1/3/2020 9:30,3,Oh Kie Hock,General info on renting private residential property
Hello,General Information about URA,Top Match,Catch all,,No Feedback,12/31/2019 15:01,1/3/2020 9:30,3,Oh Kie Hock,Rephrase question
thanks,Thank you,Top Match,Catch all,,No Feedback,12/31/2019 15:02,1/3/2020 9:30,3,Oh Kie Hock,(PON) What should I do if I wish to return unused / wrongly torn coupons?
hillview,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,12/31/2019 15:07,1/3/2020 9:30,3,Oh Kie Hock,General Info on URA SPACE map service
i tried but could only book 2 lots subsequent attempts were not successful,General info for feedback on e-Service errors,Top Match,General info for feedback on e-Service errors,,No Feedback,12/31/2019 15:30,1/3/2020 9:29,3,Oh Kie Hock,General info for feedback on e-Service errors
MOP for private property,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/31/2019 17:20,1/3/2020 9:29,3,Oh Kie Hock,General info on renting private residential property
minimum occupation period,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/31/2019 17:19,1/3/2020 9:29,3,Oh Kie Hock,General info on renting private residential property
what do i need to do to build a mezzanine in in shophouse,"My unit has a high ceiling, can I build a loft?",Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/31/2019 21:47,1/3/2020 9:29,3,Oh Kie Hock,"My unit has a high ceiling, can I build a loft?"
what if the loft is more than 5m,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/31/2019 21:48,1/3/2020 9:27,3,Oh Kie Hock,"My unit has a high ceiling, can I build a loft?"
what if loft is more than 5sqm,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",Incorrect,12/31/2019 21:48,1/3/2020 9:27,3,Oh Kie Hock,"My unit has a high ceiling, can I build a loft?"
loft more than 5sqm,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/31/2019 21:49,1/3/2020 9:27,3,Oh Kie Hock,"My unit has a high ceiling, can I build a loft?"
road reserve line and boundary line are the same,Catch all,,Catch all,,No Feedback,12/31/2019 2:03,12/31/2019 11:13,<1,Oh Kie Hock,"(STPC) Although I am not parked in a proper parking lot, I think that I am not causing obstruction to the t"
Are there any forms to be filled by applicant for IGLS site,Catch all,Top Match,Catch all,,No Feedback,12/31/2019 9:44,12/31/2019 11:13,<1,Oh Kie Hock,General information on land sales
Where do we find the Appendix H for IGLS development,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,12/31/2019 9:44,12/31/2019 11:12,<1,Oh Kie Hock,General information on land sales
reconstruction,Catch all,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/31/2019 10:24,12/31/2019 11:12,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
reconstruction and addition and alteration works,General information on building conservation,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/31/2019 10:25,12/31/2019 11:12,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
what is Form D,Catch all,Top Match,Catch all,,No Feedback,12/30/2019 11:28,12/31/2019 11:09,1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
we managed a serviced residences and would like to know if we can rent it out to people do confinement services,General info on renting private residential property,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/30/2019 10:50,12/31/2019 11:09,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
master plan site area,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,12/30/2019 8:53,12/31/2019 11:08,1,Oh Kie Hock,General Info on URA SPACE map service
is there any update for changi heights rear garden landed housing setbacks,General info on Development Control guidelines and handbooks,,General info on Development Control guidelines and handbooks,,No Feedback,12/30/2019 8:01,12/31/2019 11:08,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
whats is the changi heights landed rear boundary,General info on change of use,Top Match,General info on change of use,,No Feedback,12/30/2019 8:02,12/31/2019 11:08,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
what is the changi heights rear boundary,General info on change of use,Top Match,General info on change of use,,No Feedback,12/30/2019 8:07,12/31/2019 11:08,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
what is covered tarrace patio,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/30/2019 8:04,12/31/2019 11:08,1,Oh Kie Hock,
Ura phone,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 8:32,12/31/2019 11:07,1,Oh Kie Hock,Who can I speak to at URA?
Ura contact,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 8:32,12/31/2019 11:07,1,Oh Kie Hock,Who can I speak to at URA?
office contact no,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 8:42,12/31/2019 11:07,1,Oh Kie Hock,Who can I speak to at URA?
Renounce form,"General info on Additions and Alterations, and DC Forms",,Catch all,,No Feedback,12/30/2019 9:09,12/31/2019 11:07,1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
Renounce property,General information on property market,,Catch all,,No Feedback,12/30/2019 9:09,12/31/2019 11:07,1,Oh Kie Hock,General info on renting private residential property
Hi can I partition my unit for additional room,General info on change of use,,Can I create internal partitions in a residential property?,Development Control > Subletting Private Residential Properties,No Feedback,12/30/2019 9:57,12/31/2019 11:07,1,Oh Kie Hock,Can I create internal partitions in a residential property?
Who to write to for illegal partition in condo,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,12/30/2019 9:45,12/31/2019 11:06,1,Oh Kie Hock,General info on reporting infringements
E forms,"General info on Additions and Alterations, and DC Forms",Top Match,Catch all,,No Feedback,12/30/2019 9:10,12/31/2019 11:06,1,Oh Kie Hock,Catch all
Contact telephone number for reporting illegal rental,General Information about URA,Top Match,General info on reporting infringements,,No Feedback,12/30/2019 8:45,12/31/2019 11:06,1,Oh Kie Hock,General info on reporting infringements
WP EXTENSION,How do I apply for planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/30/2019 10:08,12/31/2019 11:06,1,Oh Kie Hock,What is a Temporary Written Permission?
eda form gave an error 53,General info for feedback on e-Service errors,Top Match,General info for feedback on e-Service errors,,No Feedback,12/30/2019 10:14,12/31/2019 11:05,1,Oh Kie Hock,General info for feedback on e-Service errors
feedback,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 11:11,12/31/2019 11:05,1,Oh Kie Hock,Who can I speak to at URA?
hi,General Information about URA,Top Match,Catch all,,No Feedback,12/30/2019 10:56,12/31/2019 11:04,1,Oh Kie Hock,General Information about URA
Download MasterPlan app,General information on planning process,Top Match,Catch all,,No Feedback,12/30/2019 10:58,12/31/2019 11:04,1,Oh Kie Hock,Catch all
registered office,General Info on Home Business,Top Match,Catch all,,No Feedback,12/30/2019 11:04,12/31/2019 11:04,1,Oh Kie Hock,General Info on Home Business
non profit,Can I install screening at my balcony?,,Catch all,,No Feedback,12/30/2019 11:04,12/31/2019 11:04,1,Oh Kie Hock,General Info on Home Business
registered,General Info on Home Business,,Catch all,,No Feedback,12/30/2019 11:05,12/31/2019 11:04,1,Oh Kie Hock,General info on renting private residential property
mailing,General Information about URA,,Catch all,,No Feedback,12/30/2019 11:05,12/31/2019 11:04,1,Oh Kie Hock,General Information about URA
complain,Catch all,Top Match,Catch all,,No Feedback,12/30/2019 11:10,12/31/2019 11:04,1,Oh Kie Hock,General info on renting private residential property
lodge a complain against ura staff,General info on reporting infringements,Top Match,Who can I speak to at URA?,,No Feedback,12/30/2019 15:11,12/31/2019 11:03,1,Oh Kie Hock,Who can I speak to at URA?
Hi my wife and I own a property If I want to take my name out from this property how should I go about doing it,Catch all,Top Match,Catch all,,No Feedback,12/30/2019 14:31,12/31/2019 10:59,1,Oh Kie Hock,General Information about URA
Not able to access the conservation portal,General info for feedback on e-Service errors,Top Match,General info for feedback on e-Service errors,,No Feedback,12/30/2019 14:20,12/31/2019 10:58,1,Oh Kie Hock,General info for feedback on e-Service errors
